,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Sentiment,Polarity
22,22,1732033268143296816,2982056008,LUCIAFORNELLIL,2023-12-05 13:44:45+00:00,,recuerd acud banc solicit prestam banc global utiliz continu leyend,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAlrE6jX0AAhUHd.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
26,26,1731699704780427567,1653503752647725090,reypicks_,2023-12-04 15:39:17+00:00,,dej total gratis apuest canal telegram ven buen rach vam empez seman gan diner,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAg7tDOWkAAN4eC.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
28,28,1731598256444940475,1653503752647725090,reypicks_,2023-12-04 08:56:10+00:00,,ayer acert apuest cerr seman gan diner nuev seman vam segu dej apueston total gratis canal telegram,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAffb-GWUAADDNv.jpg')], videos=[], animated=[])",0,0,0,Positive,1
29,29,1731305245718823275,1699356530187898880,crimsonxglobal,2023-12-03 13:31:51+00:00,Join the Waitlist 👉🏽,middlem dear honor crimson her strik middlem deal directly with hidd fees wayout join waitlist know mor,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAbU5WgWEAAreHR.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAbU6O_XQAA7-vi.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAbU67eWAAAba7m.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAbU7t1XcAAWcn3.jpg')], videos=[], animated=[])",9,4,3,Neutral,0
30,30,1730809491929612532,1124587958,InSMEmpire,2023-12-02 04:41:54+00:00,India,aut sal,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAUR_1QW8AA2fwX.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAUSAveXwAIN6M2.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAUSCLtXcAA_cNo.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAUSDM6XwAAMY3b.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
31,31,1730504584643158343,1245770596652331008,WeAreHiring_io,2023-12-01 08:30:18+00:00,WorldWide,empassion hiring car coordinator remot años experienc,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
32,32,1730275227039412507,1653503752647725090,reypicks_,2023-11-30 17:18:55+00:00,,falt men hor empiec apuest dej gratis canal telegram,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
33,33,1730009424910012635,172732264,natikidd,2023-11-29 23:42:43+00:00,Argentina,santand argentin pid autoriz absorb filial local open bank,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
34,34,1729544082932867288,1653503752647725090,reypicks_,2023-11-28 16:53:37+00:00,,apueston champions canal telegram total gratis aprovech entrar fall ningun apuest edicion champions,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
35,35,1729541813847863555,1674210782760902657,MakeItAsOne,2023-11-28 16:44:36+00:00,🌎,which literally organs israel literal organ,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
36,36,1728349562014998958,1679201198497230868,Seo_Links_,2023-11-25 09:47:01+00:00,"San Antonio, TX",anarchocapitalist,"Media(photos=[], videos=[], animated=[])",0,0,0,Negative,-1
37,37,1727880503372484712,76859382,rogerarroyave,2023-11-24 02:43:09+00:00,MEDELLIN-ANTIOQUIA-COLOMBIA,comentari mark traves,"Media(photos=[], videos=[], animated=[])",2,0,0,Neutral,0
38,38,1727137040796688811,1580549432537399298,LucasCaligiuri2,2023-11-22 01:28:53+00:00,,tem milei trabaj quint oliv hac llam ministr recib traj piyam pij,"Media(photos=[], videos=[], animated=[])",0,0,1,Neutral,0
39,39,1727048753842913322,51389154,wayneswiss,2023-11-21 19:38:04+00:00,"Bern, Schweiz",europapark,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_e1sH1XoAAT5gm.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
41,41,1726759921922838608,1521209932724547585,casagrandepod,2023-11-21 00:30:21+00:00,United States,sab europ medieval iglesi catol consider pec cobr interes prest bas enseñ antigu testament prohibicion molde panoram financier epoc,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1726759875953197056/pu/img/j7NkzPCWI7LgxabE.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1726759875953197056/pu/vid/avc1/720x1282/TVuprIfifOrslxzg.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1726759875953197056/pu/vid/avc1/480x854/95_w34dz_MNyDleb.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1726759875953197056/pu/vid/avc1/320x568/rPRHd3FOtD6I6GLX.mp4?tag=12')], duration=18916, views=None)], animated=[])",0,0,0,Neutral,0
42,42,1726623660964986894,1714353272310419456,BigCrowbetsMx,2023-11-20 15:28:54+00:00,https://t.me/+rGcjpY3RTqxjZjg5,apuest ojit aqu respet inicial aqu correspond fuert prefier plan,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_YzEcYWcAACiJ8.jpg')], videos=[], animated=[])",0,0,2,Neutral,0
43,43,1726303066482438341,1562255552,stragafilms,2023-11-19 18:14:58+00:00,CARACAS -VENEZUELA,petr filv netanyahu herod poderosisim mat niñ,"Media(photos=[], videos=[], animated=[])",2,0,1,Positive,1
44,44,1726144113337081992,1584921981404815363,ElenadelMARMAR1,2023-11-19 07:43:21+00:00,Murcia ⌛  Elche,estudi person estrategi,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_R-7IeXsAAPzOW.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
45,45,1730288159626322159,1610958959841525762,_venarixES_,2023-11-30 18:10:19+00:00,USA,grup afirm hab sed banc comercial oper sistem bancari digital extens nigeri,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAM32GWXkAA8hdY.jpg')], videos=[], animated=[])",2,1,0,Neutral,0
46,46,1725994335424918010,76859382,rogerarroyave,2023-11-18 21:48:11+00:00,MEDELLIN-ANTIOQUIA-COLOMBIA,caf mark lock traves,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
47,47,1725711301089853447,1210670571161346048,Anabel_FD8,2023-11-18 03:03:31+00:00,"Córdoba, Argentina",debilit,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_L1SC0XYAAKoQR.jpg')], videos=[], animated=[])",1,0,0,Neutral,0
48,48,1725709538379121127,1244243708624732162,carlos94437475,2023-11-18 02:56:30+00:00,United States,inform bruc,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
49,49,1725628771691008337,73721873,hcrubin2009,2023-11-17 21:35:34+00:00,NYC  E: (HRubinroit@gmail.com),regional,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
50,50,1725626999245324393,28212513,Barchart,2023-11-17 21:28:31+00:00,"Chicago, IL",regional bank stocks clos abov moving averag first tim sinc february,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_KoksiWEAAaLZz.jpg')], videos=[], animated=[])",207,34,20,Neutral,0
51,51,1725253772077912091,957383265165471746,powerflow_sv,2023-11-16 20:45:27+00:00,El Salvador,poli persig caj fuert llev,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1725253732441493504/pu/img/ptxADNvMswlTyCEL.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1725253732441493504/pu/vid/avc1/720x1088/tvnG8qAwo9zygNn6.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1725253732441493504/pu/vid/avc1/480x724/UhIbzym0DKBy_lA7.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1725253732441493504/pu/vid/avc1/320x482/E6_S7K-JaN9cT39D.mp4?tag=12')], duration=15133, views=None)], animated=[])",1,0,0,Negative,-1
52,52,1724840239380811840,1562255552,stragafilms,2023-11-15 17:22:13+00:00,CARACAS -VENEZUELA,genocidi mundial march hindu anderi,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-_cVelXIAAhb-K.jpg')], videos=[], animated=[])",0,0,1,Negative,-1
53,53,1724744464709685704,1260020833,tsouhbani1,2023-11-15 11:01:39+00:00,Rabat,recrut,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F--F2JJXIAAX3LM.png')], videos=[], animated=[])",0,0,0,Neutral,0
54,54,1724479075350106470,1532108502,ItalBank,2023-11-14 17:27:05+00:00,Puerto Rico,abra cuent escriban direct whatsapp ejecut atend gust brind inform product servici,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-6UkwtWIAAbxBc.jpg')], videos=[], animated=[])",1,0,0,Neutral,0
55,55,1724478525497901086,1405299840284774401,Yoliztlioficial,2023-11-14 17:24:54+00:00,,escuch termin banc conversacional cuent descubr pas inteligent artificial encuentr sector bancari,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1724478224107773952/pu/img/K80W7wOmAyZXwd3U.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1724478224107773952/pu/vid/avc1/480x848/ay1JR6W2kWaJpdv9.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1724478224107773952/pu/vid/avc1/320x564/a-An9zbSpeJYlHu8.mp4?tag=12')], duration=30046, views=None)], animated=[])",1,0,0,Neutral,0
56,56,1724311484375744902,720226472921698304,CrzAz20,2023-11-14 06:21:08+00:00,Tuxtepec-Veracruz,parlay soñador rebot asistent dificil adentr facil,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-38HkMWcAAy7EB.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F-38HkNXgAAqkkX.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F-38HkNX0AAlhfV.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F-38HkMWEAA3GCr.jpg')], videos=[], animated=[])",0,1,0,Neutral,0
57,57,1723738146003689801,720226472921698304,CrzAz20,2023-11-12 16:22:54+00:00,Tuxtepec-Veracruz,pinches arbitr alemani conoc tarjet ped comision tarjet,"Media(photos=[], videos=[], animated=[])",0,0,0,Negative,-1
58,58,1723449817224138789,1438488865069617153,DieYat1925,2023-11-11 21:17:11+00:00,Cebu,simon bank,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
59,59,1723420867072246264,57121915,XuanNelGonzali,2023-11-11 19:22:08+00:00,ASTURIES . ANDORRA,trabaj banc creyend diner,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-rR5RpW8AA3Oqp.png')], videos=[], animated=[])",0,0,0,Neutral,0
60,60,1723290593793577379,14642622,horusint,2023-11-11 10:44:29+00:00,,afect inclus bon tesor,"Media(photos=[], videos=[], animated=[])",0,0,0,Neutral,0
61,61,1722766022044717200,16240818,altonivel,2023-11-10 00:00:01+00:00,México,quien fundador nubank nac banc desaf oligopoli amer latin,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1722687393482833920/pu/img/nD_pheeziWx-6NA0.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1722687393482833920/pu/vid/avc1/720x1280/L7YUBIV_j89bMJ29.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1722687393482833920/pu/vid/avc1/320x568/u6EwT2O5VlWW5B8t.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1722687393482833920/pu/vid/avc1/480x852/-SXR2c7zXZVdLaf4.mp4?tag=12')], duration=59372, views=None)], animated=[])",1,0,0,Neutral,0
63,63,1722284410135851518,1405299840284774401,Yoliztlioficial,2023-11-08 16:06:16+00:00,,diseñ product servici financier adapt neces mujer esencial bienest financier ejempl cuent ahorr comision mexic institu financ ofrec product,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-bIinwX0AArBIq.jpg')], videos=[], animated=[])",1,0,0,Neutral,0
64,64,1722214936393531584,951401558255833093,galvarez_28,2023-11-08 11:30:12+00:00,,𝐓𝐰𝐢𝐭𝐭𝐞𝐗 𝐧𝐮𝐞𝐯𝐨 𝐛𝐚𝐧𝐜𝐨 musk dad plaz emple twittex cans pon nombr conviert plataform banc,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-aJWW2bAAAil6O.jpg')], videos=[], animated=[])",1,0,1,Neutral,0
65,65,1722196557687325138,49047497,VictorjValera,2023-11-08 10:17:10+00:00,"Caracas, Venezuela",lanzamient oficial wanq criptobank waynanc herramient pag waynanc ecommerc wpay onoff ramp waysend dispon waynanc comenz,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1722196508735320064/pu/img/sSyx_6btURtmhMa_.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1722196508735320064/pu/vid/avc1/320x568/UWTVzetOP64VytHo.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1722196508735320064/pu/vid/avc1/480x852/tC9PKUHuUfwJ_AgH.mp4?tag=12')], duration=27909, views=None)], animated=[])",0,0,0,Neutral,0
66,66,1722023086722101309,222697640,MOSHEROIS,2023-11-07 22:47:52+00:00,CDMX,sig cuid clon banc termin estan usand dij despu dic mont reconoc mejor colg segu jueg,"Media(photos=[], videos=[], animated=[])",0,0,3,Neutral,0
67,67,1721535732966117732,1529091445579194368,wikifx2022,2023-11-06 14:31:17+00:00,Colombia,alert bancari eeuu fall reserv federal incident deposit balanc bancari reserv federal identif problem persist retras pes solucion,"Media(photos=[], videos=[], animated=[])",0,0,0,Negative,-1
68,68,1721437264293589065,113106360,DELSURBanco,2023-11-06 08:00:01+00:00,Venezuela,comod rapidez disponibil fond adquier punt pas negoci,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-CZP2mXQAA-5YB.png'), MediaPhoto(url='https://pbs.twimg.com/media/F-CZR9sWEAAKgMt.png')], videos=[], animated=[])",0,0,0,Neutral,0
69,69,1721103800914657510,3439005040,uselinkinv,2023-11-05 09:54:57+00:00,"Syddanmark, Danmark",amer,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-KWjFBWgAA0aoy.png')], videos=[], animated=[])",10,0,1,Neutral,0
70,70,1721082472954273897,4221357207,Nashvelk,2023-11-05 08:30:12+00:00,"London, England",rendimient sampp compar,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
71,71,1720860296649044187,1648934580001419265,hakerluy44,2023-11-04 17:47:21+00:00,,saqu diner,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-G5UejWUAAke2J.jpg')], videos=[], animated=[])",1,0,0,Neutral,0
72,72,1720448334786175248,2846659211,compa1968,2023-11-03 14:30:22+00:00,"San Isidro, calle Alsina",indic bancari nasdaq indic volatil dentr objet cumpl premis rebot hombr indic banc inclin sal posicion entrad inici seman sol rebot contratendencial moment,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-BCJ3AWgAAPL9z.png')], videos=[], animated=[])",8,0,0,Neutral,0
73,73,1720200901174976778,113106360,DELSURBanco,2023-11-02 22:07:09+00:00,Venezuela,gust recib pag administr dolar apertur cuent obten mejor benefici,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F99hdmNW0AAOvng.jpg')], videos=[], animated=[])",1,1,0,Neutral,0
75,75,1719642094950654297,57121915,XuanNelGonzali,2023-11-01 09:06:39+00:00,ASTURIES . ANDORRA,dich form aquell millon eur inyect vacun nuevosviej tiemp nadi nunc devolv,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F91k2llXEAA27Ka.png')], videos=[], animated=[])",1,0,0,Neutral,0
76,76,1719395595872317737,897276386,AssociazioneUNA,2023-10-31 16:47:09+00:00,Milano,multistudi banc prealpi sanbiagi,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9yEmZEXsAAKj3i.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
78,78,1719263228063011132,57121915,XuanNelGonzali,2023-10-31 08:01:10+00:00,ASTURIES . ANDORRA,santand gan millon bbva gan millon caixabank gan millon sabadell gan millon unicaj gan millon,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9wL9COXsAAmTax.png')], videos=[], animated=[])",1,0,0,Neutral,0
79,79,1718775310177464804,3630910046,deissychavarro5,2023-10-29 23:42:21+00:00,,inform mark,"Media(photos=[], videos=[], animated=[])",1,0,0,Neutral,0
81,81,1717984922596417628,57121915,XuanNelGonzali,2023-10-27 19:21:38+00:00,ASTURIES . ANDORRA,banc santand gan millon banc caixabank gan millon banc sabadell gan millon cuant gan setiembr,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9eBPnGWYAA9WoV.png')], videos=[], animated=[])",0,0,0,Neutral,0
83,83,1717826475879985156,138294486,rpkampuchea,2023-10-27 08:52:02+00:00,"Caracas, Venezuela",mecan prest emergent banc aument millon seman pas nuev record marz acumul millon solicit institu financ pais,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9bx2iRWkAASH8G.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
84,84,1717543798492766455,1557109216640466947,PROGRAMCCP5,2023-10-26 14:08:46+00:00,"Alphen aan den Rijn, Nederland",,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9Xw9npWQAAIJzC.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F9Xw-BqXYAAwNLr.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F9Xw-Y7XUAAn1az.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F9Xw-xxWwAAQyww.jpg')], videos=[], animated=[])",0,0,0,Positive,1
85,85,1716985508029731167,1326848785608142849,thedadbodjoe,2023-10-25 01:10:19+00:00,"Idaho, USA",paol bancher,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1716985343382274048/pu/img/8DJ_NXWmvvuvrF6N.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1716985343382274048/pu/vid/avc1/480x270/LH4TGbcWyrpxmElp.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1716985343382274048/pu/vid/avc1/1280x720/F0TURxaNacZ6iq_S.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1716985343382274048/pu/vid/avc1/640x360/IQE-WtBff6X4p90K.mp4?tag=12')], duration=29530, views=None)], animated=[])",6,1,1,Neutral,0
86,86,1716636694470922667,277717742,SASMexico,2023-10-24 02:04:16+00:00,México,percat competent exist sector bancari diferent conoc histori complet jyske bank com llev siguient nivel,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F9K3-dlWsAAOuWv.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
87,87,1716424173063492018,1610572220383825921,JuanmiGG_News,2023-10-23 11:59:47+00:00,A orillas del Guadalquivir ,nazism terror israel colon atac ciud palestin huw quem cas palestin octubr asesin israel cisjordani nid ibrahim inform asesinat camp refugi jalazon nort ramallah,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1716421243556052992/pu/img/bUcBwYvL82EpwZ3K.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1716421243556052992/pu/vid/avc1/1280x720/7I1yrYh5Mq4wheRf.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1716421243556052992/pu/vid/avc1/480x270/76IC1QQKAW2sd4Mn.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1716421243556052992/pu/vid/avc1/640x360/5O719wm4wKIToImT.mp4?tag=12')], duration=244482, views=None)], animated=[])",474,566,23,Negative,-1
88,88,1715267070441459785,57121915,XuanNelGonzali,2023-10-20 07:21:52+00:00,ASTURIES . ANDORRA,millon eur gan bankint primer nuev mes casi alzas tip,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F83aMh2XcAA9-Up.jpg')], videos=[], animated=[])",0,0,0,Neutral,0
