,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
15,15,1738144023393808784,1525447809436045312,jiucai777,2023-12-22 10:26:42+00:00,,月份 火 铭文 持仓 地址 上线 野鸡 交易 交易所 gate 之前 gate 作恶 关闭 充 提 重新 开发 充 提现 现在 市值 多万 RMB 车上 怨 种 理由,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GB8gxc1a8AAkTjC.jpg')], videos=[], animated=[])",1,0,0,1.0,Positive
16,16,1738143550452490341,1525447809436045312,jiucai777,2023-12-22 10:24:50+00:00,,兄弟,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GB8gPi6asAAJXhg.png'), MediaPhoto(url='https://pbs.twimg.com/media/GB8gUWdaUAA3Ci9.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
17,17,1737693977854509258,1525447809436045312,jiucai777,2023-12-21 04:38:23+00:00,,bank 没人 冲了,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
18,18,1737540925348270422,43948487,NAI500,2023-12-20 18:30:13+00:00,Vancouver,两只 超 卖 加拿 加拿大 股票 现在 收益 收益率 太 诱人 BCE BCE Bank Nova Scotia BNS 逐 分析,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBz8Q53X0AANjBS.jpg')], videos=[], animated=[])",1,0,0,1.0,Positive
19,19,1737464457746682349,1525447809436045312,jiucai777,2023-12-20 13:26:21+00:00,,搞 铭文 不好,"Media(photos=[], videos=[], animated=[])",0,0,0,-1.0,Negative
20,20,1737378397536608458,1720091553388236800,BRC20_BANK,2023-12-20 07:44:23+00:00,Hong Kong,brcBANK 致敬 BTC 矿工 做人 人民 BANK 远古 金融 memeWEB 时代 长存 币 安 教程 致力 市场 教育 市值,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBxocCya8AArVI-.jpg')], videos=[], animated=[])",3,1,1,0.71,Positive
21,21,1737095246700585123,1510485324777988099,Jackey1minter,2023-12-19 12:59:15+00:00,,Be true Be accurate Be relax time 诚实 人精 精确 总是 放松 诚实 实才 赚钱 精确 赢得 信任 理解 放松 拳头 收回 回来 再次 有力 打出 出去 保持 伸出 状态 拳头 没有 有力 力量,"Media(photos=[], videos=[], animated=[])",2,0,3,0.58,Positive
22,22,1736590685263024180,1347031322494005250,0xZiye,2023-12-18 03:34:18+00:00,Singapore,Bangkok Bank 每次 次登 登陆 Bangkok 手机 银行 看到 泰语 邮件 体会 外国 外国人 国人 使用 完全 考虑 英语 母语 产品 痛苦,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBmbsBbaoAAFpSN.jpg')], videos=[], animated=[])",3,0,2,0.51,Positive
23,23,1736359462439690278,1541653171918934018,Bitcoin_CatsNFT,2023-12-17 12:15:30+00:00,Cat Star Man,BTC 未来 银行,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBjJqoGagAAYZqa.jpg')], videos=[], animated=[])",2,0,0,0.0,Neutral
24,24,1736233709488292204,950588953463345152,RainbowYZH,2023-12-17 03:55:48+00:00,,一直 没 起飞 啥时候 起飞,"Media(photos=[], videos=[], animated=[])",0,0,0,-1.0,Negative
25,25,1736204497066790955,1525447809436045312,jiucai777,2023-12-17 01:59:43+00:00,,brcbank 几百 几百万 百万 万美金 美金 市值 月份 超 火 币,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBg8yCrbgAA9xu_.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBg8yCkakAAknMI.jpg')], videos=[], animated=[])",1,0,0,1.0,Positive
26,26,1736048621597135106,1368073109035773955,bangzhu_bz,2023-12-16 15:40:20+00:00,新加坡,bank 放量 上涨 万 市值 再来 倍 过分 标的 一轮 牛 逼 一次 拭目 拭目以待 以待,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBeuFaCaIAAhg3i.jpg')], videos=[], animated=[])",22,10,16,0.51,Positive
27,27,1736040130270634470,627182738,qiyukeji,2023-12-16 15:06:35+00:00,,曾经 刚要 ordi 一起 起飞 bank 抛弃 月份 现在 回来,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBenS4ybMAAXT3s.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBenS41acAAPhuK.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBenS4zacAAdThc.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBenS4za4AEzJIz.jpg')], videos=[], animated=[])",4,1,1,0.33,Positive
28,28,1736038986408194116,1421667302601203714,junli46518096,2023-12-16 15:02:03+00:00,,bank 相信 币 安 再次 重复 一下 bank biance,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBemI-AbcAAyf90.png'), MediaPhoto(url='https://pbs.twimg.com/media/GBemQAIbkAAgjew.png')], videos=[], animated=[])",1,0,0,1.0,Positive
30,30,1732250469916164269,1368073109035773955,bangzhu_bz,2023-12-06 04:07:50+00:00,新加坡,bank 信 币 安,"Media(photos=[], videos=[], animated=[])",2,1,1,0.0,Neutral
31,31,1736015893157892493,1368073109035773955,bangzhu_bz,2023-12-16 13:30:17+00:00,新加坡,BANK 社区 人才 多多 多拉 盘 应该,"Media(photos=[], videos=[], animated=[])",13,10,9,1.0,Positive
32,32,1736015670528414161,1642586413358014464,brc_bank,2023-12-16 13:29:24+00:00,Hongkong,帮主 喊 单 bank 家人 一战 上岸,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBeQ8Xdb0AA3rmW.jpg')], videos=[], animated=[])",4,0,0,0.0,Neutral
33,33,1736014412253954070,1368073109035773955,bangzhu_bz,2023-12-16 13:24:24+00:00,新加坡,BANK moon 今天 老牌 bank moon 起飞 市值 低 名字 值得 拥有,"Media(photos=[], videos=[], animated=[])",26,12,18,0.6,Positive
34,34,1736013774283477478,915952138366226438,Bitcoins_bank,2023-12-16 13:21:52+00:00,,All money BTC deposited bank bank SATS,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBePAO1aIAAJ5Q_.jpg')], videos=[], animated=[])",31,13,9,0.0,Neutral
35,35,1735900336169349473,1525447809436045312,jiucai777,2023-12-16 05:51:06+00:00,,铭文 bank 远古 铭文 持有 持有人 有人 多月 月份 火热 市值 高 多万 万美金 美金,"Media(photos=[], videos=[], animated=[])",0,0,0,1.0,Positive
36,36,1735206110108512267,858322344,RealShuanQ,2023-12-14 07:52:29+00:00,Hong kong,sats 大户 账户 户内 bank 是不是 代表 bank 财富 密码 没有 起飞 感觉 机会 很大 属于 第一 第一批 一批 brc 代币 当时 热度 高,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBSwcCebgAANTi0.jpg')], videos=[], animated=[])",3,1,1,0.6,Positive
37,37,1735149192379765016,1421667302601203714,junli46518096,2023-12-14 04:06:19+00:00,,老牌 势力 bank 新贵 rats 表现,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
39,39,1735142871693513154,915952138366226438,Bitcoins_bank,2023-12-14 03:41:12+00:00,,The performance established forces BANK upstart RATS,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBR3AvIXgAAxIbl.jpg')], videos=[], animated=[])",22,9,2,0.0,Neutral
40,40,1735135132011634934,1421667302601203714,junli46518096,2023-12-14 03:10:27+00:00,,BANK 铭文 大佬 回家 BANK bank 即将 回归 bank 波 brc 耀眼 纯 共识 打完 地址 数最多 最多 币 后面 面上 gate 凉 bank 银行 叙事 太好了 不能 王者 回归 今天 进 bank 微 信 群 氛围 和谐 欢迎 曾经 bank 家人 回归 bank moon,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBRv8D9bkAA7-Wb.png'), MediaPhoto(url='https://pbs.twimg.com/media/GBRwEcjaIAAOgNW.png')], videos=[], animated=[])",0,0,0,1.0,Positive
41,41,1735132530297208866,1368073109035773955,bangzhu_bz,2023-12-14 03:00:07+00:00,新加坡,bank 即将 回归 bank 波 brc 耀眼 纯 共识 打完 地址 数最多 最多 币 后面 面上 gate 凉 bank 银行 叙事 太好了 不能 王者 回归 今天 进 bank 微 信 群 氛围 和谐 欢迎 曾经 bank 家人 回归 bank moon,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBRsj6-XIAACf2k.jpg')], videos=[], animated=[])",14,2,7,1.0,Positive
42,42,1735129876603261120,1464137842452725763,Wannianxianju,2023-12-14 02:49:34+00:00,,The Peoples Bank China scheduled issue New Year commemorative coins banknotes starting December 中国 中国人民银行 国人 人民 人民银行 银行 定于 年月日 陆续 发行 行年 贺岁 纪念 纪念币 纪念 钞,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBRrbAca0AAg5kr.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBRrbAdbcAAdIRF.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBRrbAbaEAA1-Ej.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GBRrbAbb0AAaufE.jpg')], videos=[], animated=[])",8,0,1,1.0,Positive
43,43,1735127706574967175,1368073109035773955,bangzhu_bz,2023-12-14 02:40:57+00:00,新加坡,持有 bank 进 群友 刚 建 bank 即将 起飞,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBRpT7OWcAAPBPx.jpg')], videos=[], animated=[])",1,0,1,1.0,Positive
44,44,1734552146270388235,1368073109035773955,bangzhu_bz,2023-12-12 12:33:52+00:00,新加坡,sats 币 安 okx 近期 期会 会上 brc 绝对 会上 流量 抢 rats btcs bank bear,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBJdlDlXQAAfjYP.jpg')], videos=[], animated=[])",74,13,73,0.0,Neutral
45,45,1734317199236489328,43948487,NAI500,2023-12-11 21:00:17+00:00,Vancouver,收益 收益率 最高 两只 股息 股票 共同 好处 Rogers Companies RCIB Bank Montreal BMO 深入 了解,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBGITWGXYAALXDk.jpg')], videos=[], animated=[])",0,0,0,0.67,Positive
46,46,1732691573564198933,1404674977866018816,BIYAPAYOFFICIAL,2023-12-07 09:20:37+00:00,WorldWide,想 查找 适合 转账 SWIFT Code 代码 银行 国家 家地 地区 搜索 查找 正确 分行 代码 已有 代码 以使 使用 检查 工具 确保 正确 网页 版 上线 点击 体验,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAvAcujbMAAZivn.jpg')], videos=[], animated=[])",1,1,2,0.44,Positive
47,47,1732650229923725380,1451495768653660164,kikawangqq,2023-12-07 06:36:20+00:00,Manila,不让 充 提,"Media(photos=[], videos=[], animated=[])",0,0,1,0.0,Neutral
48,48,1732241450061242592,1472790527926059009,FengGe_sats,2023-12-06 03:31:59+00:00,,带 飞 老 币 阿斗 挺起 腰杆 领衔 新币 集体 陷入 低迷 短短 几个 时间 brc 分化 分化成 化成 太子 ordi 秦王 sats 两股 势力 秦王 带 众 小弟 冲锋 冲锋陷阵 陷阵 太子 幕僚 坐享其成 最终 逐鹿 群雄 问鼎 问鼎中原 鼎中 中原 请留 请留下 留下 答案,"Media(photos=[], videos=[], animated=[])",4,0,2,0.0,Neutral
49,49,1732216056134181138,1588791684170928128,Jiu_Cai_Ge,2023-12-06 01:51:05+00:00,Hong Kong,gate 上面 BRC 集体 爆发 前两天 两天 陆续 抄 NALS 天 拉到 刀 拉 倍 可惜 买 少 大腿 拍 断 买 现在 变 是不是 gate 交易 交易所 做庄,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAoRUa6bQAAyGHB.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAoRUpTaIAAFTGN.jpg')], videos=[], animated=[])",12,0,7,-1.0,Negative
50,50,1731980123409404054,1721043134191407104,Flora____huahua,2023-12-05 10:13:34+00:00,亏钱的道路上...,前 几天 传 bitget 跑 路 谣言 起飞 今天 gate 不能 提 币 后来 发现 不能 提 数据 砸 盘 说实话 实话 gate 第二 第二次 二次 恶心 前 几个 第一 第一个 二级 市场 gate 同期 brc 当时 允许 充值 不让 提现 买 bank 损失 损失惨重 惨重 只能 老鼠 军团 牛 逼 gate 活 几把,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAk6vl0XMAAa8-V.jpg')], videos=[], animated=[])",5,0,6,-0.27,Negative
51,51,1731877571598680386,1642586413358014464,brc_bank,2023-12-05 03:26:04+00:00,Hongkong,bank 比特 币 银行 brc 代币 bank 获取 流动 流动性 完全 中心 中心化,"Media(photos=[], videos=[], animated=[])",2,0,0,1.0,Positive
52,52,1731727626304126996,43948487,NAI500,2023-12-04 17:30:14+00:00,Vancouver,美国 策略 策略师 美国 美国股市 股市 发出 出警 警告 Bank America Corporation BAC 详细 内容,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAhVGXDXwAAsRrx.jpg')], videos=[], animated=[])",0,0,0,0.33,Positive
53,53,1731636653150847458,1473241451723051020,chenyixuran,2023-12-04 11:28:45+00:00,18761676838.eth,回顾 回顾历史 历史 登月 代币 登月 过程 总是 充满 坎坷 必然 经历 无数 无数次 数次 新高 深度 回调 bankbrc 目前 无人 无人问津 问津 阶段,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAgCSjPaoAAxRrS.jpg')], videos=[], animated=[])",0,0,0,0.2,Positive
54,54,1731568958191620240,1421667302601203714,junli46518096,2023-12-04 06:59:45+00:00,,回顾 回顾历史 历史 登月 代币 登月 过程 总是 充满 坎坷 必然 经历 无数 无数次 数次 新高 深度 回调 bankbrc 目前 无人 无人问津 问津 阶段 特别 赞同 观点 看好 BANK 源于 月初 概念 万能 金融 属性 BRC 首批 批上 持 币 地址 看好 风,"Media(photos=[], videos=[], animated=[])",0,0,0,0.48,Positive
56,56,1731380435966697627,1713193954756403200,Chen928177,2023-12-03 18:30:38+00:00,,铭文,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
57,57,1730481860403466417,1631595447285596160,singsingtracker,2023-12-01 07:00:00+00:00,,港股 熱 話 HSBC 科 創 金融 正式 運 作 窮 忙 族 恩 物 股票 投 資 指 標 港股 美 股 入市 星 昇 財 經 指 標,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAPXMEZaQAAwq5r.jpg')], videos=[], animated=[])",0,0,0,1.0,Positive
58,58,1730471790844264882,1275978112480587776,PribizcoA,2023-12-01 06:20:00+00:00,,空头 美国 史 最大 信贷 泡沫 大崩盘 崩盘 到来 黑天 黑天鹅 天鹅 基金 Universa Investments 首席 投资 官 此前 警告 一场 严重 崩盘 可能 发生 周一 一次 采访 中表 表示 美国 国信 信贷 市场 巨大 泡沫 这种 崩溃 正 越来 越来越 越来越近,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-4OXk_bcAANhSm.jpg')], videos=[], animated=[])",0,0,0,-0.32,Negative
59,59,1729916080762569200,1661528908573859841,FirstBankETH,2023-11-29 17:31:48+00:00,,First Crypto BANK 现在 欢迎 中国 朋友 第一 第一家 一家 加密 银行 行将 同类 银行 第一 第一家 一家 提供 具有 现代 特色 传统 银行 服务 提供 全套 加密 货币 服务 China English Twitter BANK,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1729915981865127937/pu/img/3LgKipXLnAu05QZF.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1729915981865127937/pu/vid/avc1/320x180/IGBCb0xuKpT0Mzcx.mp4?tag=12')], duration=5010, views=None)], animated=[])",36,15,6,1.0,Positive
60,60,1729643891610075291,43948487,NAI500,2023-11-28 23:30:13+00:00,Vancouver,市 占 率 达 预测 谱 Royal Bank Canada CA 深入 深入分析 分析,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GADt9AfXEAAvOdQ.jpg')], videos=[], animated=[])",0,0,1,1.0,Positive
61,61,1729384375614378465,1275978112480587776,PribizcoA,2023-11-28 06:19:00+00:00,,日本 日本央行 央行 结束 负 利率 预期 升温 彭博社 报导 沃伦 伦巴 巴菲 巴菲特 菲特 柏 克 夏 计划 今年 第二 第二次 二次 发行 日元 计价 公司 公司债 债市 市场 日本 日本央行 央行 行将 放弃 负 利率 预期 推 高 借贷 成本 目前 前日 日本 日本央行 央行 行行 行长 植 田 男 实质 放宽 年期 国债 收益 收益率 上限,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F-dmgsIaUAA00Ut.jpg')], videos=[], animated=[])",0,0,0,-0.09,Negative
62,62,1728901385536892933,954945318293880834,silenceisduck,2023-11-26 22:19:46+00:00,,不信 銀 行 流 動 性 危 機 經 過 後 崩 盤 路上,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_5KpZwWoAAKtSY.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_5KpZxW0AA34qp.jpg')], videos=[], animated=[])",2,0,0,-1.0,Negative
63,63,1728125438889980324,1359577797295935491,Bitcoin_zh,2023-11-24 18:56:26+00:00,,阿根 阿根廷 根廷 總 統 Javier Milei 表示 關 閉 中央 銀 行 個 談 判 議 題,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_uI6_HacAM2Ncr.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
64,64,1727439360176341315,43948487,NAI500,2023-11-22 21:30:12+00:00,Vancouver,全 覆盖 加拿 加拿大 六大 大行 均 开办 首套 套房 FHSA Canadian Imperial Bank Of Commerce CM Bank Montreal BMO 详细 内容,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_kY8cbXIAAKe6q.jpg')], videos=[], animated=[])",6,2,0,1.0,Positive
65,65,1727378971161944455,43948487,NAI500,2023-11-22 17:30:14+00:00,Vancouver,预计 标 普 指数 明年 突破 有望 创下 新高 Bank America Corporation BAC 完整 内容,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_jiBVSWQAAjtVM.jpg')], videos=[], animated=[])",0,0,0,1.0,Positive
66,66,1727031681402507282,43948487,NAI500,2023-11-21 18:30:14+00:00,Vancouver,盘点 拥有 两位 两位数 位数 收益 三位 三位数 位数 上涨 潜力 三只 股票 Global Ship Lease GSL Sociedad Quimica Minera Chile SQM Bancolombia CIB 逐 分析,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_emKZZX0AAKrg8.jpg')], videos=[], animated=[])",0,0,0,1.0,Positive
67,67,1726918380727452132,1694154201713303553,LaoSyu168,2023-11-21 11:00:01+00:00,,麼 融 資 銀 行 融 資 差 別 眾 最常 常用 用到 卻 搞不清 搞不清楚 清楚,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1726845731296980992/pu/img/i3jkqSZwtNS2Cu8f.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1726845731296980992/pu/vid/avc1/480x852/tEt8o6Zws9-AMLsX.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1726845731296980992/pu/vid/avc1/720x1280/kARGGPBO6I458w56.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1726845731296980992/pu/vid/avc1/320x568/xRIq8m9w6sNrEsFF.mp4?tag=12')], duration=57491, views=None)], animated=[])",0,0,0,0.0,Neutral
68,68,1726847912267989134,1275978112480587776,PribizcoA,2023-11-21 06:20:00+00:00,,世界 黄金 协会 会地 地缘 政治 紧张 加剧 全球 央行 狂 买 黄金 世界 黄金 协会 WGC 发布 三季 三季度 季度 全球 黄金 需求 趋势 报告 报告 显示 市场 动荡 地缘 政治 不确定性 确定 确定性 定性 推动 黄金 需求 求全 全球 央行 维持 强劲 购 金 态势 黄金 需求 提供 助力,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F95x3TWbIAAJDr6.jpg')], videos=[], animated=[])",0,0,0,0.15,Positive
69,69,1726669313224900980,43948487,NAI500,2023-11-20 18:30:18+00:00,Vancouver,软着陆 着陆 成为 成为事实 事实 两只 拥有 重大 价值 股票 即将 大幅 反弹 Royal Bank Canada RY Canadian Utilities CU 逐 分析,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_ZclzFXoAAYL2A.jpg')], videos=[], animated=[])",0,0,0,1.0,Positive
70,70,1726439351717183616,1434164938088484868,Fizzdadong1,2023-11-20 03:16:31+00:00,,鼠 鼠 倡导 提 币 钱包 记得 Gate 上架 币 价格 一泻千里 千里 情况 这种 情况 可能 数据 操纵 纵有 过去 经验 鼠 鼠 已经 看到 交易 交易所 上架 币 可能 假币 数据 透明 交易 限制 市场 操纵,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_WLcMhakAENkcW.jpg')], videos=[], animated=[])",1,0,0,-0.41,Negative
71,71,1725219738698059817,43948487,NAI500,2023-11-16 18:30:13+00:00,Vancouver,大盘 下跌 这三只 三只 刚刚 宣布 上调 股息 股票 安全 Telus T Canadian Utilities CU Bank Montreal BMO 逐 了解,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_E2NalWkAAydb9.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
72,72,1725096331600138327,1531553743971397632,PoloniexChinese,2023-11-16 10:19:50+00:00,,BRC 十大 代币 看好,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_DF-CFaAAAqxwi.jpg')], videos=[], animated=[])",8,0,18,1.0,Positive
73,73,1725058474042917003,1385915719506825216,lymsdi,2023-11-16 07:49:24+00:00,,记住 bits 比特 币 火箭,"Media(photos=[], videos=[], animated=[])",1,0,1,0.0,Neutral
74,74,1725047177393918341,1637843498115403776,allin9527001,2023-11-16 07:04:31+00:00,,几天 火爆 张 一组 好像 打废 几张 币 懂 老板 帮忙 解释 解释一下 一下,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_CZQxuagAAq2Uj.jpg')], videos=[], animated=[])",2,0,1,0.0,Neutral
