,commenterID,UserName,Date,Text,Polarity,Sentiment
2448,UCjyU6vepybsflOOlm9mDlbA,@hossundhopf,2020-03-31 16:27:03+00:00,sollt bank kollabi wohl letzt verstand arg,-1.0,Negative
2447,UCeusrHGQ_vKArgi2hX6h3Hw,@gregorvonheld4410,2020-03-31 16:38:18+00:00,optimist,0.0,Neutral
2446,UCucOrw9_8DCyLiAlhlP3ypw,@derkostenoptimierer,2020-03-31 16:39:46+00:00,trau bank schon pleit geh,0.0,Neutral
2445,UCW8A9bi6jZCTe2Q6HK96lcw,@Switzerlandtv,2020-03-31 17:19:34+00:00,schust bleib leist red lieb immobili uberlass thema lieb profis lieb erzahl neu,1.0,Positive
2444,UCPFicmFVOOFXqM6-vXYZhLQ,@patrickthoma2934,2020-03-31 17:35:01+00:00,sieht raiffeisenbank genau gross bank insolvenz gefahrdet,0.7,Positive
2443,UCGeFB79hD3sHIqeDs8Lvl2A,@edi9892,2020-03-31 17:40:59+00:00,mocht kapazitatenprobl hinweis arbeitgeb ging pleit ging mitarbeit gemeind schon uberfordert kreativ buchfuhr dazukam dauert lang anspruch klarenbrstellt firm tausend mitarbeit geh pleit ebenso bank normal jahr dauert anspruch klar niemal fristgerecht abgearbeitet werdenbrahn viel mehr verbind bedi niemal gericht gehenbrdah sonderregl geb wirklich gerecht war,0.74,Positive
2442,UCY8pW3Ay6FxGUfHm1zwUDWQ,@ronnywolff1,2020-03-31 17:48:30+00:00,gibt krieg,0.0,Neutral
2441,UCPYjoucUbfkr6GRDXv_rYqw,@hanssackstark4690,2020-03-31 18:01:48+00:00,passiert schuld bspw hypothek kleinkredit,0.0,Neutral
2440,UCkt15-apMczbHZWRyjYfSVw,@profihandwerker4828,2020-03-31 18:04:27+00:00,gerald werbewirksam buch neb platziert,0.0,Neutral
2439,UC5SDuFe4aG1N6jex18bw9xw,@sebbwebbo7557,2020-03-31 18:04:54+00:00,angeseh moglich antwort moglich frag bitcoin wobei dash eher eignet viel alltag ding,0.0,Neutral
2438,UCUj1oePeVYQzJrIZCnuuUWg,@bergjuwelchen6788,2020-03-31 18:25:15+00:00,gibt heut livechat,0.0,Neutral
2437,UC7fhZivMVarKFfcFLL9KjTw,@jasonwings2967,2020-03-31 19:00:29+00:00,denkt selbstmord thomas schaf bezug finanziell situation,0.0,Neutral
2436,UCNhu9O6tvBzIqGT29VOOs2Q,@clausroppel,2020-03-31 19:23:38+00:00,einlagensicher dominoeffekt bank mehr greif end tag kund vermog gnadenlos enteignet dahin notenbank gelddruckmaschin grenz bring,-0.35,Negative
2435,UCNabWwABOwVna9a4S4-3rTg,@jonnes__4657,2020-03-31 19:40:54+00:00,geldsyst wurd total zerstort geld belieb vermehrt tauch belieb vermehrtgedrucktbr,0.0,Neutral
2434,UC_91t6luBiB_09obstUgVIA,@PornobrillenAli,2020-03-31 19:46:17+00:00,einlagensicher angeht rat statut einlagensicher durchzules darin steht auszahl keinerlei rechtsanspruch besteht,0.0,Neutral
2433,UCrL1LZAOBAg4u5CO8Ol6NYg,@anmajo1772,2020-03-31 19:46:38+00:00,durst cola krieg,0.0,Neutral
2432,UCWa-oUnIXO-fKpG6HTI2DMg,@Zickler90,2020-03-31 19:58:50+00:00,beim geld rein pump entsteht inflation soweit logisch zentralbank geld syst heraus hol mehr wert geht direkt garnicht,0.675,Positive
2431,UCgvir1ftqMUzMRbob0OZMDQ,@timotto6016,2020-03-31 21:23:11+00:00,kompakt knackig gerypunkstyl eben dankebrfur augenarzt brill estropi fuhrungsaug rechtsbrbrill highly recommanded brkann recht aug bess seh oderbrbleib wohlaufbrlieb gruss otto,0.0,Neutral
2430,UCVKdAvZV9cU4BAvL6aDH7xA,@tpantera100,2020-03-31 21:32:36+00:00,sparbuch,0.0,Neutral
2429,UCh9aNMaFGfWcHXL47LyTXDw,@martinkracher7445,2020-03-31 23:00:23+00:00,drama verkauft imm einfach lock bleib,0.7,Positive
2428,UC-sNDDoYYeUDP4VKlcPIsgA,@fustler,2020-04-01 00:15:53+00:00,best content,0.0,Neutral
2427,UCujIdzrvTgjP1Qj17NLecYA,@bossplayer5270,2020-04-01 00:37:53+00:00,geld abschaff genauso bankenbrbrdann war welt schon,0.0,Neutral
2426,UCQs5a1AYTxtVDjLgZ9chEgA,@wdys2523,2020-04-01 07:09:45+00:00,red mull zeit hauptsach clickbait titel schon werbung traurig,-1.0,Negative
2425,UCsDG5F5MlC1dd-EMmCBmZuA,@TESTSIEGERTV_PLUS,2020-04-01 07:30:04+00:00,find neu studio hamm ide war vielleicht sprechersitz vorn schieb mehr raumhintergrund drauf chart ahnlich platzi videoinhalt verdeut macht sup,0.0,Neutral
2424,UCHvGhl00fkZWq2fhugqUKAg,@felixfelix4218,2020-04-01 08:23:34+00:00,warum gold wert worstcas behalt,0.0,Neutral
2423,UC84AACjlyZqK7FLR-x1UpVQ,@benjaminklitzke1437,2020-04-01 09:23:40+00:00,frag seh bank moment tatsach dasteht,0.0,Neutral
2422,UCEkXlAKB_TmGL239_Xn1S1A,@harryhirsch8576,2020-04-01 11:23:16+00:00,hallo gerald wieviel cash halt wieviel hast anleih schutz anleih kann empfehl dank gesund,1.0,Positive
2421,UC2BctCRcLFRHJlFll0_CE3Q,@cdlmlcsjv,2020-04-01 17:19:44+00:00,warum grun gesicht,0.0,Neutral
2420,UCFUC-qo4K1WtUgAxPlzar4g,@asmudeus519,2020-04-01 17:34:10+00:00,mach sorg geld mach sorg nach wint ess heiz,0.0,Neutral
2419,UCiyF5a-yHEbNWkhuSaHw9qA,@johncromo6496,2020-04-01 19:12:13+00:00,bail programm helf wahrungsreform,0.0,Neutral
2418,UC0dNXH-bQsHE2O3yrWRiBOA,@ChrissCraft639,2020-04-01 20:45:19+00:00,hort herr horhan freund herrn friedrich gross viel dank engagement lieb investmentpunk dank,0.5,Positive
2417,UCHFyBNFIvGPoPZ9Cy8V7hfQ,@Magnetron692,2020-04-01 21:43:03+00:00,global umfass crash komm letz end erzeug lebensmittel bau landwirt uberleb sich oberhand gold uberleb ess droht kannibalismus zeit zweit weltkrieg gezeigt erst kommt fress moral,-1.0,Negative
2416,UCoSe4ORbKLpHSf5FhOUd2uA,@peterstingel2813,2020-04-02 00:02:47+00:00,bail erklar,0.0,Neutral
2415,UCBHEj1lXMPD5EnLOmTLp8Og,@lasignoraluna2367,2020-04-05 17:28:01+00:00,sup dank infos kommend monat leid wirklich,1.0,Positive
2414,UCgBFKVWwcPVuCRb7RBxQgKQ,@FinanzenimGriff,2020-04-09 13:22:46+00:00,dank aufklarungbrda schon recht aufgestellt brbrhoff schlimm,-1.0,Negative
2413,UCUC24WoJruFCcI--TdzMhwA,@jelena1276,2020-06-23 06:34:08+00:00,erspart bank nehm,0.0,Neutral
2412,UCUpOuiNAbIGRzC-WHqucd1g,@a.r.7699,2020-08-02 10:20:58+00:00,sparkass pleit geht gilt faustrecht pleit geht logisch konsequenz antwort einfach lehman einfach druck druck druck probl markt inzwisch suchtig billiggeld jahr eig medizin schluck muss,0.7999999999999999,Positive
2411,UCn3EStJx41SzQZ8zaNIdG3A,@melaniemurczak5159,2020-10-11 15:35:15+00:00,sach mehr,0.0,Neutral
2410,UCTxbR0Rc514Q3NNaQPqlP9g,@nescari,2020-10-31 18:02:35+00:00,best finanzminist istbrmit klein grundrentebrstaatsanleih kauf brdas ganz europa brschon seit letzt krisebrbrda bekommt schon lebenbzw uberteuert uberlebenbrund staat geld leih,0.0,Neutral
2409,UCAM2OKOod5168FJtb4GZAhg,@jovankailic1151,2021-02-05 09:35:16+00:00,bank schliess komm mehr schliessfach dran,0.0,Neutral
2408,UCG2W8IqD_bA1rDBoR460b3Q,@BKroni-lr8dd,2021-12-07 22:22:34+00:00,brauch hilf,0.0,Neutral
2407,UCVXLafxqgtFGfxzgAQ2Bhhg,@Topinka84,2021-12-07 22:41:22+00:00,brauch hilf brbrich frag schuld wohn miet brwenn geld gespart sich sparkonto direkt konto beid seh onlin banking zeit rumschick mach unterschied sich sparbuch onlin hand halt brwie handy vetrag kriss statt monat verlang teu blodsin gesagt ahnung miet vermiet schuld mehr gehort haus schon ganz hatt problem kris dank,0.4666666666666666,Positive
3836,UCPL7arNvBxNlBGBfAi0vqdg,@NudelAug,2023-03-13 15:03:33+00:00,vertraut heut bank sieht gerad innerhalb kurz zeit gross bank umgefall milliard einfach,0.7,Positive
3835,UCkYGA7_Ir0jjrnVYy4v1jBA,@TheLegendDevil,2023-03-13 15:19:26+00:00,mehr notgrosch tagesgeldkonto einfach finanziell ungebildet sieh erst frau braucht wund geld verliert,-0.675,Negative
3834,UCImQ8rfANuIFhqHmKnldPUw,@konrad3,2023-03-13 15:19:37+00:00,href mehr sparkass,0.0,Neutral
3833,UCofDzWqjE8pSibkBoD9Mj1w,@wieselwalli,2023-03-13 15:19:49+00:00,festgeld alternativ tagesgeld onlinebank hausbank momentan eher schwierig,-0.7,Negative
3832,UCn2bieuDw_-1_lYGmhc21dw,@6188406050042119,2023-03-13 15:33:28+00:00,sparkass echt skrupellos abzockerbankbrbrmich sparkass kostenpflicht girokonto zwang droht auflos kontos zustimmebrkonn los namlich zuerst,-1.0,Negative
3831,UCki94pqcjVrwcgVf5p9I2Yw,@j.f.7843,2023-03-13 15:37:11+00:00,immobilienzins weit quotweg leitzinsquot sparzins passiert einfach verar,0.7,Positive
3830,UCmK36Zws1ecDyAjAwKHtGFg,@stephanm.6250,2023-03-13 15:41:12+00:00,gott gibt genug alternativ,0.7,Positive
3828,UCnMafzZjo6JFChStipjcIGg,@MaximilianGros,2023-03-13 15:44:59+00:00,vermog verdi allgemein verliert mehr gerechtfertigt,0.15000000000000002,Positive
3827,UCUAaEhfE_5w27jXrd9ENaIA,@Sorefol,2023-03-13 15:47:12+00:00,href quotnein akti kenn uberhaupt ausquotbrundbrquotbevor bach runt gehtquotbrbrsollt anfang short kaufenweiss scheinbar bscheid,0.0,Neutral
3826,UCAYwpqTgLwaFDLaum2uRddA,@UndercoverDog,2023-03-13 15:48:00+00:00,ganz neu bank gut,1.0,Positive
3825,UCF6KYi3QAsAaX3b78oOnTJA,@halbmenschhalbauslander6394,2023-03-13 15:51:11+00:00,schuld,0.0,Neutral
3824,UCT-1qcltDebr7C0bm8ueXNw,@Backstein-Ziegel,2023-03-13 15:52:38+00:00,ganz ehrlich geld bank anlegt verlor verliert geld beispiel erziel prozent divid zins prozent minus geschaft,1.0,Positive
3822,UC7BrDL_6Lg7vTy2BS3iCNog,@michi5003,2023-03-13 15:58:01+00:00,bess minus zins bank mehr gonn,0.0,Neutral
3821,UCF8E8JjAImKtLR3DA2iPG7Q,@MaxPower-uq4sz,2023-03-13 15:59:24+00:00,bank wohl geseh olkonzern kund verarsch gedacht lauft deutschland,0.0,Neutral
3820,UCwAewZZFuRJua7jbmsCO4yw,@adrianwipf3804,2023-03-13 16:00:41+00:00,tankstell hoch geht schnell runt brab vergess kund macht deshalb angebot studi wechseln,0.7,Positive
3819,UC7XbScplVfkdAnEk7r0gqgw,@Raphael-pt7rx,2023-03-13 16:05:22+00:00,zins klein leut egal standig geld aufm konto bekommt zins jahr monat meist nichtmal,0.0,Neutral
3818,UCfNbtP5PuM63gmi0HINGJLg,@jakobh3718,2023-03-13 16:08:07+00:00,gruss geb fall jemand einladungslink mocht meldet bonus abgeb,0.0,Neutral
3817,UC3rEZ0vNKxW5elGnZX9hWow,@stefankoehler5220,2023-03-13 16:10:06+00:00,deutsch michel halt spar investor german angst michel deutsch staatsanleih appel hol warum geht sparda bank lasst bar aufbindenbrbrsorry verstandnis mitleid minimum eigenverantowrt finanziell bildung erwart,0.0,Neutral
3816,UClyLyowF5CSVRqsGBO9gmqQ,@pryme5837,2023-03-13 16:15:34+00:00,href bevor bach runt geht tagegeld regionalbank anleg prima negativ realrendit schonmal sich einfach versteh stund geld arbeitet gleichzeit geldsyst beschaft irgendwo mitleid unverstandnis unterweg,-0.15000000000000002,Negative
3815,UCq-85calmX0cL8CN5NPY_vg,@sghinde,2023-03-13 16:22:52+00:00,mobilfunk strom bestandskund geschropft neukund umgarnt ergo dauerhaft wechseln ausblut deppdeppin ubrig bleib unternehm vertrau darauf hemmung faulheit grossteil kund befallt sodass wenig passiert,0.0,Neutral
3814,UCwUeO-YLGlo36pAWEvwhqjw,@simplydominoes23,2023-03-13 16:25:18+00:00,tagesgeldkonto satz quotgeld anlegenquot,0.0,Neutral
3813,UCJfxDdbIsyc1_qf2xXHcyTg,@chriss.2634,2023-03-13 16:29:38+00:00,weltspar dienstleist alternativ fast automat werbeangebot werbeangebot gewechselt mehr bietet bekommt geld,0.0,Neutral
3812,UCTLxArpnLaSEZuAYtLmjrMw,@klaus.adalbertdemelanda1865,2023-03-13 16:31:04+00:00,solang sparzin niedrig real inflation spar dumm geld sieht biet wocheneinkauf finanzi jahr bekomm gleich wocheneinkauf zurueck wenigerbrgruss brasili,0.0,Neutral
3811,UC_KcpQESp4bmlbhIIc5DJbg,@maledort6986,2023-03-13 16:32:30+00:00,person glaub leut einfach egal darub meckert zins gibt wohl alternativ gab,0.0,Neutral
3810,UCTLxArpnLaSEZuAYtLmjrMw,@klaus.adalbertdemelanda1865,2023-03-13 16:40:20+00:00,bank anwaelt drogendeal entscheid mafia willbrgruss brasili,0.0,Neutral
3809,UCu4FnwKNo3JhwEMJmiOgztw,@thomasmrl9147,2023-03-13 16:47:23+00:00,boomerproblem,0.0,Neutral
3808,UCEC-r-iwU13ew9MxHWgN1sg,@nutzeeer,2023-03-13 16:47:26+00:00,konnt gut ide zins sparkass,1.0,Positive
3807,UCDwnARZVkoNZjV72n4iJ0AQ,@AndyAttrition,2023-03-13 16:54:55+00:00,reit bdcs etf portfolio rendit brwer sparkassevolksbank geht glaubt bank freund best schuld,0.0,Neutral
3806,UCs4dp3Fd4v3DMBJHhIsbwSQ,@iamwitchergeraltofrivia9670,2023-03-13 16:57:57+00:00,zin,0.0,Neutral
3805,UCjSehJEbL2yehYk_XLcJYBQ,@andredoernen8265,2023-03-13 17:04:13+00:00,kenn leut monat netto hol aktuell geld imm monat konto leg schliesfach bank zins bekomm bank geld einlag nutzt daran zins verdient,1.0,Positive
3804,UCCg27clMH_xLolUYxdYpJqg,@spacedriver256,2023-03-13 17:04:55+00:00,arm bank muss irgendwi verwaltungsgebuhr geld kont bewalt halt typisch verbrech arbeitet glaubt dreck propagi,-1.0,Negative
3803,UCd2zrfSJjrXw0Mgy-XxVFKQ,@Delije_1989,2023-03-13 17:19:30+00:00,schonmal leitzin gehort,0.0,Neutral
3802,UCIfyGjVm-53LC2wlI9qme1A,@dobo6880,2023-03-13 17:25:14+00:00,einfach bank wechseln,0.7,Positive
3801,UCWZCs0HO4n0ZNc_HzJbbVvg,@eckiecki9705,2023-03-13 17:28:06+00:00,bank mocht imm best geld,0.0,Neutral
3800,UCqHXDNzVX65O1D-Gqe0p2mQ,@diewahrheit6626,2023-03-13 17:36:26+00:00,freie marktwirtschaft problembrdas frag endet,0.7,Positive
3799,UCgQV0zDCBqgWIfa5sygcNsg,@csac1979,2023-03-13 17:41:27+00:00,schon dumm quotspartquot rendit hoh zwei sogar dreistell bereich erwirtschaft baut vermog nutzt leverageeffekt weiss vermog leverageeffekt googeln,-1.0,Negative
3798,UCJcz3bXUeCJpHiQ16dHwysg,@paladinP4,2023-03-13 17:59:59+00:00,wahr spar bitcoin moglich jeglich fiatsyst inflationi vorgeseh zeit spielt roll zin sparbuch betragt,1.0,Positive
3797,UCvhD1SxgjGjsH27plgBbPvA,@flocco2542,2023-03-13 18:19:31+00:00,traderepublic gibt zins,0.0,Neutral
3796,UCbmwfAl3NamVicu-VqqSM-g,@privatier6817,2023-03-13 18:32:48+00:00,dam freut inflation konto schreib verlust jahr einzig relevant rennzahl differenz inflation zin sieht sparbuch imm geldentwert darstell,1.0,Positive
3795,UC1A9g_bZuYju81Z_kSm-Q8Q,@pali5228,2023-03-13 18:34:23+00:00,quotmit akti kenn uberhaupt ausquot sorry verdient brist gab youtub reichlich bildung sach finanz brbrjed bank echt vertraut lasst offensicht gern verarsch,1.0,Positive
3794,UCMwI8-dS1H6c3wRXmW-Luag,@pfefferle74,2023-03-13 18:34:57+00:00,gibt halt grundrecht hoh sparzins geld heut imm filialbank bringt will halt,0.0,Neutral
3793,UC4xTPFp6GuVqb2rDU2nFqzg,@Zefobenga,2023-03-13 18:35:56+00:00,leid bank gegenteil freund helf geld kumm eben teurerbrentwed akzepti trad republic angebot nehm geldmaktetf kurzfrist staatsanleiheetf nehm bank mittelfing zeig eben kumm,0.0,Neutral
3792,UC5pI0KqZlvz6UOuc6bD81mQ,@stefanh.4806,2023-03-13 18:38:58+00:00,wann abzock beitragsservic berichtet bank aussuch zwangsgebuhr gibt schon deutschland bank zins zahl,0.0,Neutral
3791,UC5xLWpXE3BxMRGjpNpYlRmg,@PeterPan-fs6qe,2023-03-13 19:00:49+00:00,geld akti anlegt eracht schuld schon verlor jahr etf bish imm plus gemacht mehr ganz problem,0.0,Neutral
3790,UChtxsfZdHYzuZrfTuE_HWuA,@ylpea5170,2023-03-13 19:28:28+00:00,sich regier bald dageg fact wenig euland negativzins,0.0,Neutral
3789,UCcQRJcyVyz6A1sC-x2TpExw,@christophbrehm3997,2023-03-13 19:36:14+00:00,deutschland spar finanzbild null komma null brbrsolch mensch gehort brbrab trifft halt imm gleich generation denk spar holenbrbrund negativ zins gibt erst seit gest real seit jahr,0.0,Neutral
3788,UCbdZSYn9Q2coCEyV4Sf94hg,@blacksheep3066,2023-03-13 19:36:23+00:00,lockangebot macht bank erst monat danach geld spardos sammeln,0.0,Neutral
3787,UC_9DXr5Sm7-wg40vU_SQKPQ,@sicksbasic9771,2023-03-13 19:46:06+00:00,tagesgeldkonto abzockekass trad repuplic umgeschichtet bekomm jahr monat ausgeschuttet geld imm sofort verfugbar,0.0,Neutral
3786,UCES9U_onYIP1SnRPJIooGuw,@silentpatrick1159,2023-03-13 19:55:40+00:00,richtig opel bank,1.0,Positive
3785,UCo6xgvIr0ehimXAuhGWsFmg,@nukleardackel,2023-03-13 20:03:17+00:00,quotich versteh akti akti fond booooosequot selb schuld,0.0,Neutral
3784,UCQtGu9HLTuUX5OGM1XdWLZQ,@schrauberkopf,2023-03-13 20:13:08+00:00,schon einfach quotgut glaubensquot altbank glaub einfach wechseln bank mehr druck verursach verbot mehr kont zwei verschied bank,0.2333333333333333,Positive
3783,UCNya7zH9s0bRyV5IzZQrUvg,@chris642219,2023-03-13 20:15:29+00:00,einerseit wund quothausbank ortquot verschwind lad innenstadt kostet geld lasst preiszin regeln fehlend konkurrenz aussag zynisch direktbank apparat herumzuschlepp investi regel anruf finanzier gerad lauft andererseit hausbank sach arroganz tatsach unschlagbar mischung bewusstsein unterstutz sowohl onlin hausbank gibt ubrig ganz bewusst direktbank schlepptau hausbank,-0.3333333333333333,Negative
3782,UCQFMEnL_3BSCo0gzKD4qjwQ,@alfredmayr8242,2023-03-13 20:22:10+00:00,sparkass eben sparsam,0.7,Positive
3781,UCuxngEqwpoOOWSM1atQ9Fag,@cirdecxx,2023-03-13 20:32:51+00:00,versteh null beitrag abzock brdie bank sagt kundin bekommt den nimmt sieht klar abzock kundin allgemein recht hoh rendit risiko xdbrbrich stimm kommentar angst akti faul thema geld beschaft lauft halt regionalbank geld them imm sag geld vorsicht jaja genau,0.0,Neutral
3780,UCZWcWaERNhU0TO91KeM2L1A,@gloogli-channel353,2023-03-13 20:46:52+00:00,regional filialbank teu biet kaum zins geld vergammeln lass wechselt onlinebank neutral gut berat erhalt verbraucherzentral,0.10000000000000002,Positive
3779,UCnJRMAlYbjYrWMe3lkmCfIw,@KJ-su4ph,2023-03-13 20:51:08+00:00,zins inflation geld sparstrumpf steck hoh kaufkraftverlust unternehm beteiligt akti etf schuld,0.0,Neutral
3778,UCYcudgAvQvudNH7m_Hj7CnQ,@andrep.2004,2023-03-13 20:52:23+00:00,bess taglich verfugbar festgeld langfrist fur alt zuruck gelegt gross teil akti steck ahnung davon anfts world vergleichbar,0.7,Positive
3777,UCxTPQVqlsQK9fHw8xQPQIPA,@sakaresh9759,2023-03-13 20:53:20+00:00,endlich video boomerelt imm hausbank,0.0,Neutral
3776,UCJ4mhS2gqV0sbsSRWWA1cjA,@robertsmach,2023-03-13 21:05:43+00:00,schlecht doku,-1.0,Negative
3775,UCowRPF7CtlBlpjk6nH5HD5Q,@matthiasmtl3122,2023-03-13 21:07:43+00:00,hausbank hilf egal reingeh versicher angebot komm mehr raus,0.0,Neutral
3774,UCzI2zIHHZjtzPkP6L1gcCfg,@sexyoderhot,2023-03-13 21:23:24+00:00,best ganz geld abheb haus bunk bank geld rutsch langsam minus,-0.7,Negative
3773,UC64bp_A7eHgrbjbGRk5LImQ,@jonnyyy7686,2023-03-13 21:29:16+00:00,typisch deutsch bau kennt frisst statt kurz anlagemethod beschaft lieb faulheit geld normal konto pack risiko eingeh ernsthaft erwart saftig rendit gibt,0.7999999999999999,Positive
2006,UCDpaqDX2tWfLtyN53dVLGwQ,@australier263,2023-03-13 21:35:06+00:00,untergang seit wert verlor dank dafur wahr feind amis,1.0,Positive
2005,UCPos-wXNn5qNAUBqe2CBiAw,@richardwagner1559,2023-03-13 21:35:07+00:00,fangt party richtig brerst ein zwei dreibrdann casino vorbei,1.0,Positive
2004,UCVqQR1Ef1TEWp7FhA-HyEaQ,@segeln968,2023-03-13 21:37:23+00:00,west passiert mitnehmenbrall europa geld abzieh goldreserv,0.0,Neutral
2003,UCVqQR1Ef1TEWp7FhA-HyEaQ,@segeln968,2023-03-13 21:37:57+00:00,bank numm,0.0,Neutral
2002,UCQKT6R0DDekeYu4qz-zfwQw,@TOFKAS01,2023-03-13 21:44:46+00:00,erst pandemi krieg bankenkries vielleicht bald schwer kris jahr quotneu gold erquot vorhersagt glaskugel bitt stuck runterschluck,0.0,Neutral
3772,UCzIWQZn0D09hzvPnFz-0Xow,@johannesbitz5686,2023-03-13 21:44:58+00:00,bevor sowas tagesgeldkont beschaftigt lieb richtig anlag kumm,1.0,Positive
3771,UCs31vBk5wtQOBDFM_WwSzPA,@andibeck2264,2023-03-13 21:45:49+00:00,bock musst geld bank abheb gold sich bunkernschau bank arbeitensi zins lock kund bank werdenschliess hoh gehalt bonuszahl verzicht,0.0,Neutral
3770,UCaAKl98TKmMsLqpsv7BG1OA,@erichbitterer8369,2023-03-13 21:49:27+00:00,holt einfach geld bankbrdann werdet seh passiertbrdann bank umschwenk,0.7,Positive
2001,UCVqQR1Ef1TEWp7FhA-HyEaQ,@segeln968,2023-03-13 21:51:22+00:00,meist europa bank hang tropf zentralbank hemmungslos geld druck gedeckt istbrdurch fehlend explodiert inflation geld schnell entwertet zins null senk geht mehr saudis chines zieh geld vergeb kredit europa bricht kartenhaus zusammenbrerdol mehr dollar rubel dinar gehandelt usdollar makulaturbrdas einzig bleibt russland china anzugreifenbrdi russ fast europa land entwaffnet europa landstreitkraft kaum ubrig bleibt marin luftwaffebrim pazif amerikan flott chines bereit unterleg seeschlacht gewinnt chines jahr gleich anzahl kreuz fregatt korvett bau bereit flott lang untergegang,-0.2,Negative
3769,UCs31vBk5wtQOBDFM_WwSzPA,@andibeck2264,2023-03-13 21:51:41+00:00,vielleicht freund den vertraut geld zusamm werfenum immobili kauf vermietetdenn regier trau kont beschlagnahm ukrain unterstutzendenn mensch fremd heim wirft land aufgebaut den trau,0.0,Neutral
2000,UCmm2uMjR4-b0nqulOj0w0Uw,@urdeutscher6568,2023-03-13 21:52:07+00:00,fried russland,0.0,Neutral
1999,UCV9Rlw_lP7dVsXolou-FSZw,@Hey-Bro-47,2023-03-13 22:02:47+00:00,sich bestimmt schon fast jahr wohlstand geld gold erwirtschaftet erbeutet krieg irak afghanistan nixacht beiseit gelegt mensch beruhigt geld rett bewusst dafur verwendet leut merk polit off erklar schief gelauf ausred kommt dau kommt bestimmt genau,1.0,Positive
3768,UCbscoq6SDzyED1AORG6dxmg,@iComeFromBerlin99,2023-03-13 22:06:01+00:00,schuld gibt bereit bank zins stark weitergeb wechselt schlichtweg dafur verantwort tatsach mensch gibt geldanlag tagesgeldkonto satz nenn beschreibt finanziell bildung land leid recht,0.7,Positive
3767,UCaTokGVbdsBABQ4rpWiKdyw,@razzTK,2023-03-13 22:10:00+00:00,vermut negativzinsphas bank reichlich kredit vergeb einlag verringert hoh zins verlangt fehlt liquiditat desweg buhl bank neukund der vermog schieflag credit suiss insolvenz silicon valley bank sowi cryptobors stark omen neu anroll finanzkris,0.85,Positive
3766,UCqmiU-dNHjDD8asxtXdjgcA,@Steve007006,2023-03-13 22:19:45+00:00,achtung falschinformation brbei trad republ greift deutsch einlagensicher brbrdas verrechnungskonto meist kund citybank europa gefuhrtbrda gilt irisch einlagensicherungbrwenn probl geb irisch einlagenfond wend hilfestell deutschland,0.0,Neutral
3765,UCYXQ8FhW-Fj7glroz_zvKyQ,@MarkusDuesseldorf,2023-03-13 22:26:21+00:00,dafur sparkass sich geld irgendwann gehor offent hand kaum pleitegeh namlich einlagensicherungsfond verlass deckungsquot betragt deutschland heisst bank pleit ging euro einlag ganz cent zuruckbekomm zugegebenermass eher unwahrschein szenario pleit einzig bank vielleicht fond getrag mehr bank gleichzeit sollt,0.0,Neutral
