,commenterID,UserName,Date,Text,Sentiment,Polarity
1889,UC64TUT0rjrTioeuGhG02aeg,@alerusso,2016-11-24 09:13:25+00:00,qual nom professor coragg iron verit temp bipensier talvolt pag car,positive,1
1888,UC-feBi_nOJr6dV0TjEHGaoA,@oscarfantozzi3688,2016-11-28 18:32:30+00:00,grand lezion didatt acompagn brasil spieg tant cos attual situazion econom,negative,-1
1887,UCB3xopphwAQlPM9veU9bJWQ,@ilmik3073,2016-11-29 12:29:41+00:00,ricc almen conosct graz,positive,1
1886,UCZDOTb8x3vIX-4VtjP7QAPw,@wfelice,2016-12-03 03:21:05+00:00,sol compl lasc comment sott vide cas prem far sincer compl professor compl content ital ancor professor gen,positive,1
1885,UCDJF4thx6hTQ4wOJ3brPIKA,@Eleonora1960,2016-12-17 01:04:22+00:00,professor meravigl fantast davver,positive,1
1884,UCb2ACpnvoQOkbzZp2OWJQUA,@TheWolf-tl5un,2017-01-03 23:23:15+00:00,poss aver altre lezion prof sdog,positive,1
1883,UCSzKHqGDSetvNH9DOh-F87A,@enricoserra7866,2017-01-07 18:17:12+00:00,sdog grandenon sol verit parl facil comprension contenutiil ver nemic popol lignor purtropp forz govern,negative,-1
1882,UCuU2DXm9Sh2SUx9slQ4WZ_g,@serdar373,2017-01-20 04:41:54+00:00,professor lav divent grand econom mond,negative,-1
1881,UCdCfdzg72B_qNl3oZiw3cZQ,@davideiezzi362,2017-02-10 17:03:54+00:00,afferm famigl conosc legg tutel risparm debb pag propr ignoranzabr lamoral distrugg temp,negative,-1
1880,UCF89pqE_rhtatvHh8igwuTQ,@davidegaiba5024,2017-02-14 06:48:48+00:00,sis capitobellobrbrpecc tutt bas fond discors mezz errat cio concett sistem monetar odiern pens anni erratobrbrper chiar illuminantebr hrefhttppaolobarnardinfodocssystemic_webpdfhttppaolobarnardinfodocssystemic_webpdf,positive,1
1879,UCuYyS5pcfzXRTi1D6XIrYsQ,@lordfranziscus,2017-02-17 22:03:43+00:00,bass tass interess applic banc central sping invest titol deriv quand alcun banc tropp deriv grad ripag fond invest scopp cris cred banc fid lun dellaltr smett far cred facil quel punt leconom ferm perc banc garant liquid lattent torr gemell contribu abbatt tass interess cos fatt scopp boll informat prim immobil guadagn situazion appen scopert professor sdog adess tocc ved tutt lezion,negative,-1
1876,UCvIzAZCC4UpfQrErNlfsyVQ,@khrysos1180,2017-03-12 00:41:46+00:00,simpat professor,positive,1
1875,UCle03ak6QSQ9XWh5tTTfVtA,@Mariuss454,2017-03-13 17:05:03+00:00,oktutt molt bell insegn ingegner polim filosof,positive,1
1874,UCfjl8slIGRZS_mS4pKmW2nw,@albertom.2396,2017-03-18 09:05:42+00:00,compl ottim lezion spiegazion ment razional professor ital,positive,1
1873,UCPCxqHLSWzTimu_89K_ppOw,@RivellMusic,2017-03-31 20:11:22+00:00,professor cos,negative,-1
1872,UC8PAgMsRU8iZKJkTX-6WeuQ,@fabioiannelli4849,2017-04-12 09:10:02+00:00,min href prof afferm paes cresc lann raddopp anni realt raddopp circ anni prof diment concett cresc compost bast far semplic calcol circ part anni cresc med annu arriv min href quotbuttaquot numer volt senz vol giustific moltipl depos realt oggi circ rest molt ver realist,negative,-1
1870,UCcLKV4QfZc_dDPWT5GctA8g,@giuseppebianca1599,2017-04-24 08:51:03+00:00,interessantissim notiz statist vecc esistess qualcos aggiorn success,positive,1
693,UCTef_PpN9u_Lpl41Z7Yx1Jw,@samuelfavorito3358,2017-05-05 08:30:07+00:00,vogl ricord quel gen prepar boccon moder mar mont propos vend part dellor pag deb pubblic,positive,1
691,UC7yCDceofsGJMrmuVVyxOcg,@kalinsaengkaco5379,2017-05-05 16:18:01+00:00,ใชคะกาลนขอขอบพระคณพระเจามากๆๆคะ อาเมน ฮาเลลยา ฮาเลลยา ฮาเลลยา,positive,1
1869,UCUpWZ367pKH308eOGOfrSFg,@albetti123,2017-05-12 14:30:55+00:00,econom lezion banal sconcertantecredetem,negative,-1
1868,UC7YYV61DHBHBO9-bqq66LiA,@nyon76,2017-05-15 21:19:33+00:00,car professor staglazion cad prezz bens aument propr percentual mater prim merc ferm invend men vend rincar prezz altro cad prezz,negative,-1
1867,UCykxNcNg-9sOeh2zDMcuInQ,@antonellooliveri5640,2017-05-18 12:33:18+00:00,dovrebb esser obbligator ved lezion legg,positive,1
1866,UCPLLLwZP347WPuc-ExzTFFQ,@riccardodefazio9031,2017-05-27 20:04:04+00:00,cert nascond polit comunqu gran professor,negative,-1
1865,UC0Swc0yALk_lUh--XiHjwCQ,@irenecappelletti1049,2017-06-04 15:43:33+00:00,grand prof grand profession ottim docent,positive,1
1864,UCQDHLMBNXNLpLIvJxNlWkgg,@marcomantovani3736,2017-06-12 18:19:01+00:00,compl professor final qualcun attrib,positive,1
1863,UCHQ_yRnZggIwVQtSp8VpVRw,@xproj76,2017-06-13 15:56:34+00:00,lezion bellissim final compres bas cris grand professor,positive,1
1862,UCW0rXnvHtky4qQ0_OUc0KRg,@francescomiglino,2017-06-28 15:12:51+00:00,scommett dietr ruol egemon intes paol evidenz vic ilva alital oggi conferm soluzion incredibil favorevol acquirent banc ven cel progett probabil stud tavolin tedesc incorpor egemon banc italian,negative,-1
690,UCgpfzpexx6KbCDbhVaAa74Q,@rodros,2017-07-01 08:34:38+00:00,vien vogl risc,positive,1
689,UCuZoff76DG-aoAPo81kplbQ,@forzacasertana,2017-07-02 10:14:45+00:00,italian floris direttor general ment sap ment sol banc dital appartien inps inail quind lingott custod palazz,negative,-1
688,UCMYipQ9YOlE-48r_NUwANTg,@mariorossi8028,2017-07-02 16:15:17+00:00,documentar fantast part arte mon ver fantast,positive,1
1861,UCLWXLxAtyufrqN3YuS9LrOQ,@cerbiatta75,2017-07-04 09:06:47+00:00,spesibr fors stat pur tropp,negative,-1
1860,UCsORJJ_-_wae67z24N_ilHQ,@papagiovanni9921,2017-07-04 22:54:31+00:00,eccellent lezion,positive,1
687,UCTOUQeJDBdTkr5MyMoJyc6Q,@salvatoretilotta2522,2017-07-07 21:23:34+00:00,chiam palazz,negative,-1
686,UCf3uSYpfhmT-s_xw_h-KshQ,@Redipicche87,2017-07-10 18:22:48+00:00,bestemm invec giorn,positive,1
685,UCq1MFR8ClteiS_evCj6Qy-g,@ollilollil2369,2017-07-12 15:24:50+00:00,italian spett nient vecc polit burattina maf ver,negative,-1
1859,UCimgCjCEMYsbPeA6nYh3XVw,@BestTheNight,2017-07-12 21:57:40+00:00,svegl,positive,1
684,UC1LVSep4coYkKSG7YnDxVAg,@birraiolo78,2017-07-16 17:09:28+00:00,sol perd sol chiavesuper sbatt,negative,-1
683,UC1LVSep4coYkKSG7YnDxVAg,@birraiolo78,2017-07-16 17:17:08+00:00,banc dital ancor ente pubblic sicur,positive,1
1858,UCWBQN76DTnwmCZc4m41zKxA,@comevivereadimpatto0102,2017-07-18 09:22:27+00:00,professor fantast,positive,1
1857,UCKi6GQNeaoX8MHElZmqWRpQ,@giannettoguerrini3377,2017-07-27 20:53:01+00:00,grand quand dic ver dic mont merkel schaubl renz,positive,1
682,UCaNgtYjmgirETKNEjLbIEIQ,@enzoferrari8730,2017-07-29 14:56:04+00:00,rispett vide fatt albert angel qualc anno differt poch part fors maggior valor dellorobrfloris sembr estas,positive,1
1856,UCHyeGgccmOjuHEoas55khEQ,@auz515,2017-08-01 15:02:22+00:00,graz professor sdog graz caric vide,positive,1
681,UC41O7tFEpULFsfxTT5aVTCg,@gunghi92,2017-08-06 16:56:32+00:00,accompagnapiù altro pes,negative,-1
680,UCPH_JcvD7eoMVGtSMP_DDpw,@ViaggiareAvecMoi,2017-08-17 16:11:59+00:00,banc dital pubblic priv,positive,1
1855,UCY2Htf1xFggzp1hzso4zbCQ,@rossanobf,2017-08-18 07:56:15+00:00,grand compl,negative,-1
1854,UCgTh6SoWRqJ7UX0U-mpMwjQ,@marcorossi2664,2017-08-26 17:33:37+00:00,compl fortun ancor ottim docent spieg realt econom attual vorre sent tutt ser prim notiz realt aim sent sempr econom cresc ben mentr realt ognun valut senz esser econom osserv carrell spes allintern enorm centr commercial merc procap osserv,positive,1
1852,UCC_Tu3RAzAz8qaPY5EenlOA,@Errorerror95,2017-09-01 16:28:31+00:00,esaust,positive,1
1851,UC74rrdhuJcB95W5rlY8TDDA,@salvatorenastasi6475,2017-09-30 13:36:28+00:00,prof sar brav sapr spieg ben molt accadem quas econom riesc andar oltre ambit specialist aver vision dinsiem ver grand recession cominc continu ancor adess origin pur finanziar far leconom real bell cos prof omett spieg perc cert punt cos tant gent riesc pag mutu stat traders apriv mutu chiunqu ricc pover bianc ner semplic ver pover poss permett pag mutu sempr semplic salar cris allarg tutt piramid mot mot cresc delleconom occidental inter real finanziar fin gross mod dop shock petrolifer lembarg dellopec dop stat schem ponz cred fung motor cerc rimpiazz ver cresc produtt cos sciocc scioccant professoron teng cont poss ten cont perc propr tutt disciplin bas sconnession connession leconom risors dispon volt lquotero lenergy return investment croll giochett teng sol question temp perc affoss dett semplic leconom estratt econom cresc finc risors bas primis petrolif forn lenerg costruiam cas strad tutt infrastruttur modern societ industrial finc risors abbond sopratutt econom quand risors sempr scars consegut sempr costos inevitabil castell croll succed radic profond cris finanziar radic ecolog sempr ritorn natur luom soprattutt econom trascur convien tort marx primis post vide migliai vide potre post mancanz connession bas fraintend costru convien sap vuol chiam polit molt andrann vuol coragg onest intellettual intraprend cammin accett semplic soluzion rassicur perc cos dar colp prof quand prend cines guard stat american ideolog distrutt cresc capital istru cines fars adess sub consegut ler consegut href,negative,-1
1850,UC74rrdhuJcB95W5rlY8TDDA,@salvatorenastasi6475,2017-09-30 13:40:34+00:00,impar lingles vol cap andat nessun part documentar spieg benissim parl comment lung sott chiam crisis civilization href,positive,1
1849,UCidCpn0BUy66mXRT6DUArhg,@cesarbalaban,2017-10-15 14:51:30+00:00,pochin men teatral concis pot dir min,positive,1
1848,UCQCxyda2JVQHYDH_m7QtGig,@padreinterpretazioni6241,2017-10-23 11:50:24+00:00,ottim professor,positive,1
679,UCf2_Izx2ffsUpLrHG3e33EQ,@YamiCrystal,2017-10-28 22:18:46+00:00,quind esser vend vend pessim scelt aument vogl dir numer lingott esser increment stat accresc quantit present propr riserv,negative,-1
1847,UCLfTx7fjd58fFVogGtywCXA,@alessiatrevisan7642,2017-12-05 22:14:22+00:00,buon ser not min href circ professor parl banc invest qual poss raccogl liquid interag banc commercial banc central poss sol emett obblig per dic raccogl liquid possibil raccogl sold famigl impres emett obblig scus contraddizion banc invest stat cre interag commercial sens fras cap mal unerror vol durant spiegazion graz mill,negative,-1
3429,UC8KOK4h_KuLgHrhjoCw0A6w,@robertocasaccia5446,2017-12-15 18:40:51+00:00,dov rinnov fid attiv direttr banc marc propost acquist azion banc concess fid senz probleminon accett ten dur fatt ben perc garanz,positive,1
1846,UCaCfyawQ9XvWDt6wqWGvowQ,@Kamgusta,2017-12-21 02:09:46+00:00,stud econom perfett chiar lect magistralis graz prof,positive,1
1845,UCgYpR3U3cxmaLM_iI5P7n-g,@antonellagiovia9154,2017-12-21 16:23:22+00:00,graz professor stat molt chiar illuminantemen mal ital ancor proffessor,positive,1
1844,UCKy9ED8QiCxMOprbramm4Cw,@claudioari1639,2018-01-02 00:10:16+00:00,quind conclusion fin distrugg terr dovr cresc,negative,-1
1843,UCRmMxvA9ttwvnw9sVpKvY1w,@saveriocontini6028,2018-01-09 04:54:31+00:00,interess fortun poss stud,positive,1
1842,UC4jE3pki5o_pqhf4713xvyA,@Dema990,2018-01-30 12:48:05+00:00,deb pubblic vogl normalizz tutt europ perc lintenzion far econom unic quind german aument propr lital abbass null far cris sbagl,negative,-1
1841,UCcLaycA9zOTVKbom6BfFVOQ,@giuseppefranza6916,2018-02-03 00:40:38+00:00,lezion meravigl,positive,1
678,UCUgicgmyQtFk_yaYjytt4Uw,@giuliamasotti4235,2018-02-10 16:53:58+00:00,cazz raccont pur music,positive,1
1840,UCHCQuNXl8KEmRig0HD9vvCw,@stapletonc76,2018-02-21 22:46:08+00:00,compl pens ruol abbass redd real dop reagan thatcher familigl ilavor labour incom shar pag mutu abbast sold govern vuol sempr risparm spend,negative,-1
1839,UCc6WWZY9dtOFA6uy9Sv3Ibg,@ALE9069,2018-02-24 10:51:59+00:00,cap esemp indones cresc anni mett anni raddopp,negative,-1
3428,UCxTFtuiRozOG7i4L_liS3hQ,@giancarlocimatti1894,2018-02-27 08:25:57+00:00,sboldry pens fascist,negative,-1
1838,UCoHPFDmLGcQXGyTep_Hx41w,@bndrcr82a08e349g,2018-04-01 11:31:58+00:00,fat uom ministr delleconom,negative,-1
677,UCZtmg73ZcsFhEUwd7sBb35g,@bellag4711,2018-04-08 07:51:23+00:00,peggior svarion fantascientif guard prass raggiung caveau,positive,1
676,UCZtmg73ZcsFhEUwd7sBb35g,@bellag4711,2018-04-08 08:01:05+00:00,storic modern gent magar passion stud document affatt mister fin rubatoc nazist mister stor domand qual sol scienz sper prest potr rispond stor furt stat stor molt chiar dettagl sfortun stud alcun document megl stud var version rivisit rest stor ufficial dist molt real,positive,1
675,UCZtmg73ZcsFhEUwd7sBb35g,@bellag4711,2018-04-08 08:10:17+00:00,music lav azzecc propr quand mostr ritratt mar drag,positive,1
1837,UCNQ-K3Bi_TkhXLvjNhIZ1KQ,@iugiuggiola,2018-04-21 12:45:51+00:00,comunqu qualit casaling vogher profond indign,negative,-1
674,UCOFrjBjxpf1fA4hQVCPddoA,@giancarlofarina662,2018-05-04 17:42:24+00:00,error dir stat esser valut bas prezz merc parer giornal impazz href,positive,1
1836,UCIbpZdcsBuqtMax_rK07GeA,@renatarogo1933,2018-05-06 16:09:06+00:00,divent intelligent allimprovvis prof sdog gran divulg second,positive,1
673,UC24TSnuerKT-Iiz1I4SKDLw,@Luca-qy7pt,2018-05-08 17:57:01+00:00,vol gioc ragazz,positive,1
672,UC6hmduEkBsLg6nD52iVJ2kQ,@aldovillanova1218,2018-06-06 11:02:09+00:00,sap perc cerc trov poss risolv broblem ved per ved poss met aver disposizion numer telef ved chiamr dir finanziar scorett hrefhttpfiduciaiofiduciaio disabil far stanc mental mal cos dentr comport part finanziar riguard confront hrefhttpfareiofareio lasc perd eser giust sofr chied optet dar aiut mer sent cos fat far problem graz graz nuov lasc numer farsic pos risolv,negative,-1
1834,UC7Qe4KQfmhfQbCPATCYUb0g,@GB-gu5jz,2018-06-06 14:12:27+00:00,perc econom cos compless quotcrescitaquot,positive,1
671,UCMpjKzNgPzXTo9UEenwwcFg,@eziofaga548,2018-06-06 15:01:31+00:00,renz bosc fatt pensierin andre ricont,positive,1
1833,UCdiEp9sUI0YgbQN4J-JTutg,@massimolucchini6554,2018-06-10 21:57:22+00:00,trader guadagn tass scend bast vend scopert punt regg,negative,-1
3427,UCR3sQSD6KWUdb7-zNaxCOgQ,@claudiodalessandro4931,2018-06-13 13:31:01+00:00,min href tiz dic fatt prest sold compr azion adess pag interess prest poss dir cerc vol specul adess rivuo sold compl,positive,1
670,UCnwNQLnNX1bz39BtT_mklSQ,@angeloalfredomalvicini543,2018-07-14 00:53:21+00:00,cavolacc bell tant tant bell pubblic tant bell cos verit banc vergogn,positive,1
1832,UCExTukIHgExEZ-F_zt8soXw,@domenicocirianni6320,2018-07-18 13:57:53+00:00,svegliamoc senz lavor mor fam,negative,-1
669,UCiIniUP6sR3qNG-T0Kzu7kg,@kos3r264,2018-07-23 14:40:24+00:00,terz ser cas cart riserv aure italian,positive,1
1831,UCkYj7YzplGSYGmQ7awioNJw,@simonedipalma6529,2018-08-01 12:53:52+00:00,fin lha fatt comp student sconosc,positive,1
668,UC_00grFb9shFoF4vAx1mS6A,@sheruffa6032,2018-08-04 16:46:48+00:00,quellor sottosvilupp bell stat mal anni ancor aspett misur elementar labc stat incapac programmareinvest cre tecnologiascit lott lindigenzafinanz giovan volenter ide cre multinazional notebook televisor qualcos modern poss rappresent giovan bambin vantounorgogl prim ced bass autostim intraprend strad tortuos magar part germaniaevident viet svilupp sudimpost qualcun fors nemmen italiamagar londr decid dev svilupparenon dev finanz dev finanz fint dand fond sol not null curios sap centr tecnolog ricerc possied stud material poss cre qualcun nuovos liber dinvent apport linvenzion territor utilizz petrol basilic aliment econom dann gent nemmen italian piac sap tutt cos italian dovrebber conosc,negative,-1
667,UCZpx93ruFY_bsqiSzBiAWqw,@ivanmilazzo2488,2018-08-07 18:59:17+00:00,andat hrefhttpmorireiomorireio neanc sold compr pan,positive,1
666,UC7Hr4vHPPr1yhjM2LEmVkSA,@angelopapa7861,2018-08-23 20:57:01+00:00,ingott dor mangiaten muor cioccol mang penz,positive,1
1830,UCJuNdCj2RCFJuvvTlEOvdkg,@diegosuigo6208,2018-08-29 08:11:36+00:00,interess cap caus consigl viv altro videobr href,positive,1
1829,UCk1iQGuabJpkxUSpUYl21hg,@andrealoconte7613,2018-09-02 05:26:34+00:00,graz prof ottim lezion,positive,1
1828,UC4EjViRjmht_IrVHcGhRlXQ,@supermarius22,2018-09-14 14:21:18+00:00,dovrebber mand onda durs compagn bell,negative,-1
665,UC4Ngbgw12vHI-1rC4pc3pEA,@FABRYBIRRA,2018-09-17 09:24:24+00:00,fasull ricostru perfezion,positive,1
1827,UC9i767KI1Gt8uO4JjjXyQAA,@0XAN,2018-09-20 21:41:13+00:00,corrett bisogn sol aggiung senz globalizz gent pers lavor pot continu pag mutu dat origin globalizz ver caus stagnazion,positive,1
664,UCo7E65sGI1xY_qgEJqjl_-A,@gabriele8519,2018-09-23 09:12:50+00:00,grand mister rub dov cerc vuol gen cap,negative,-1
663,UCErgSrTrQDz5YJVJoxOtTpQ,@gimnasiumclub9175,2018-09-24 23:27:16+00:00,german mess occhi,positive,1
662,UCGWymfxeidTsosBGcV9gmEA,@giovannicherubini9995,2018-09-28 13:33:31+00:00,molt bell graz,positive,1
1826,UC0tob6PlQodpAqpWS03jh8A,@lucagambini7472,2018-10-01 12:49:47+00:00,piac miglior lezion econom fatt chius cerc tant spot stud,positive,1
661,UC7EO7wJQERDOzvydZFpJaKA,@Moria1978,2018-10-04 00:10:19+00:00,dire almen detentor chied cin russ,negative,-1
660,UC7EO7wJQERDOzvydZFpJaKA,@Moria1978,2018-10-04 00:11:14+00:00,disoccup giovanil lingott puo infil car baffett,negative,-1
659,UC7EO7wJQERDOzvydZFpJaKA,@Moria1978,2018-10-04 00:17:28+00:00,lhann rivend american,negative,-1
658,UCza8Jbus7GND3s3oCDVTJhA,@annaritanardella6830,2018-10-06 06:49:56+00:00,quel loroimmagin paes ricchissim invec fuor fameincred,negative,-1
657,UCRepWd6CrIHhp0lbquCHN5Q,@izysalp5501,2018-10-07 12:04:10+00:00,proveng comun proveng nazistiquotpecun oletquot tit flav vespas imper rom dcil rest sol ipocris ved min href href,negative,-1
656,UC2V93JBik1qQaxIfsHFFUgg,@GioacchinoSpadafora,2018-10-09 12:53:37+00:00,chiss quand documentar signoragg bancar,negative,-1
655,UCQspxHBH66FEAHQUI87WvqA,@manugbanck7005,2018-10-10 13:08:48+00:00,giornal interromp fin largoment person intervist,positive,1
654,UCmJ9Z64BUKe9IVViZvLERog,@ogeidvassallo61,2018-10-11 08:10:43+00:00,assalt banc,negative,-1
653,UC0K83lIXXyYBMvLGTHuhgZA,@aniellotufano7403,2018-10-11 08:37:10+00:00,vide dic quotbanc italiaquot ente pubblic fors vol dir diritt pubblicoqu grand differt,negative,-1
652,UCvd86JY7pTQrSD0nWyYLMRQ,@glisente81,2018-10-11 09:25:24+00:00,doman vad fiamm ossidr portatil min entro ahahaahh dit addi allor patr ahah,positive,1
651,UCA4dDzktxKTBrQi_U7GYlyA,@JohnSmith-fh7kj,2018-10-11 10:51:38+00:00,sostanz serv cazz,negative,-1
650,UCvijLSLuRecLOssbbSgXkeQ,@6262ronny,2018-10-11 23:56:17+00:00,quellor sembr stran ladron nessun ancor ciul allor teniamocel strett mor fam gir rolex,negative,-1
649,UCi_OeVX2QpEcPaktPpu1eKw,@klaraalicka5385,2018-10-12 07:15:19+00:00,serv tecnolog alien accumul,negative,-1
648,UCi_OeVX2QpEcPaktPpu1eKw,@klaraalicka5385,2018-10-12 07:19:43+00:00,convert fasull eur oroanc chiest convert risparm fatt,positive,1
647,UCpZx_vnEGKwvM3KThCNsV1w,@antoniom1173,2018-10-12 17:10:22+00:00,banc dital ancor polit monetar sol condomin condomin proprietar appart dev assoggett allamministr stess vot nessun pens dit veritàcondominiom favor bast min vide capirloil rest guardatel,negative,-1
646,UC7NSTC2sduMrXnQLgupZEdg,@Back.to.the-future,2018-10-12 18:48:41+00:00,vaffffff,positive,1
645,UCy7Vb390pJWBVCBZvYlbDmw,@xxxxxx9723,2018-10-13 21:20:49+00:00,lital sol contadin fatt sold bast guard met comment cap cap cazz spieg,negative,-1
644,UCDhNGvEBmfZW-ZD_OV6CLoQ,@botbot9629,2018-10-15 23:11:29+00:00,mirkor mut,positive,1
643,UCYjnhUc1-2zuEEB-QWOOA4Q,@gabrielecolavini5674,2018-10-16 01:17:37+00:00,compres vend possed italian dann enorm dovr ten car mentr quand individual ricchezz accumul debb incentiv stagnazion delleconom sempr stat invit gir sold perd valorebrinsomm cap valor camb bas parlabrs italian riscuot,negative,-1
642,UCcmF28-s9XPqCTEbgSeiQrg,@nicola2855,2018-10-16 04:35:35+00:00,pur tony beets,positive,1
641,UCoA81xt7Cxf1UETHYKMEmAA,@claudiosaltara8847,2018-10-16 18:21:28+00:00,sap lital riserv aure grand europ quas pot cap rating cer lital esist cap ignor stupid,negative,-1
640,UCv9oBuuG9pQBhbvcSj_9LEQ,@luigidefinis1915,2018-10-16 22:36:55+00:00,nientemiliard eur manovr finanziarienon esist copertur oromonet emess,negative,-1
639,UCbmVtIKRKJCEz78eyAhnTMg,@ginolatino767,2018-10-17 18:35:42+00:00,mink mink stat dovess cad disgraz salv vend semplic doman loccident cadess disgraziamiser alti paes mink dellor produc ricchezz colt pat sfam bovin pppfffhhh pover schi heloim,negative,-1
638,UCY6f4IxD4qiuOYqEwmoPqqw,@Carlos.Galvez-De.Sanjust,2018-10-19 02:12:39+00:00,href paradis terr,positive,1
637,UCoQs5ObVOePUeTebO0nTGRw,@riccardo365,2018-10-20 03:50:03+00:00,tutt cos passatopurtroppoogg funzionar istitu brav succ stipend null,negative,-1
636,UCUmsjHE9ZEp6WyknsmzEPfg,@darioscolari4538,2018-10-20 11:20:25+00:00,dic lingott ogni lingott val allor riserv val molt men miliard,positive,1
635,UCuRrieBlAw-nFpjpHYZY_Aw,@cc.carmine2895,2018-10-20 22:02:31+00:00,ahah italianibrcas vol dir polit merdabrc anno derub italian,negative,-1
634,UCvIUpufP3FtA9uqXL-l9T5g,@iachi73,2018-10-21 00:15:11+00:00,banc dital ente pubblic cert man priv,positive,1
633,UCvIUpufP3FtA9uqXL-l9T5g,@iachi73,2018-10-21 00:16:19+00:00,dat vogl veng dat part graz,positive,1
632,UCPRxjhRfAja6ZfvtwQd9xFQ,@Ztenam976,2018-10-21 10:20:05+00:00,lingott cioccol interess andar dentr,negative,-1
631,UC50Le2A8dUOv4uGht01Ml0w,@marcobascelli1233,2018-10-21 12:48:05+00:00,italian dat que lingottin allor,positive,1
630,UC9U0w9TBjEjd3T7FcW0SmeQ,@ilikeacmilan1,2018-10-21 12:51:06+00:00,ogni banc ital acquist ogni anno,positive,1
629,UC4yoQpQV8rD01KYwsaL713w,@pazzoignoto7764,2018-10-21 17:50:50+00:00,pag tutt bollett graz hrefhttpbitlyskilletprohttpbitlyskilletpro,positive,1
628,UCWd_K0O1lAYeOB-j14NZaiA,@manuelfabbri6972,2018-10-21 19:32:28+00:00,comunqu sempr cris,positive,1
627,UCL7KYwXEmAhVHJ_uAZvkbmw,@ValeBonoASRoma,2018-10-22 05:39:12+00:00,sembr entrar chies cazz,negative,-1
626,UCu4tA4D8cR1ptI_IEJ153Fg,@erikkillmonger963,2018-10-22 13:15:58+00:00,rid quot italianiquot,positive,1
625,UCNSsrZJwKExoIcWHjh07bYQ,@montigiano,2018-10-22 15:22:39+00:00,min href ross ment sap ment banc dital quotistit diritt pubblicoquot corrett indic sit istituzional pratic societ priv possed banc priv svolg serviz pubblic bell differt rispett esser ente pubblicobrquind quotlegalmentequot banc dital quotpraticamentequot pur bril dottor giacint aur rigir tomb probabil dottor guid carlibrcar italian rub senz farl uscir caveau braltr arsen lupin,positive,1
